Date,Time (UTC),Booster Version,Dragon Version,Launch Site,Mission,Payload Mass (kg),Payload Mass (lb),Payload Type,Payload Manufacturer,Orbit,Customer,Customer Type,Customer Country,Mission Outcome,Landing Outcome,Drone Ship,Drone Ship Type,Notes
06-02-2018,20:45:00,"B1023.2  (side) , Heavy core B1033, B1025.2 (side) ",Dragon Not Used,KSC LC-39A,Elon Musk's Tesla Roadster,"1,250",2756,Demonstration,SpaceX,Heliocentric (close to Mars transfer orbit),SpaceX,Testing,United States of America,Success,"Success (ground pad), Failure (drone ship), Success (ground pad)",Of Course I Still Love You,Marmac 304,"Maiden flight of Falcon Heavy, using two recovered Falcon 9 cores as side boosters (from the Thaicom 8 and SpaceX CRS-9 missions), as well as a modified Block 3 booster reinforced to endure the additional load from the two side boosters. The static fire test, held on 24 January 2018, was the first time 27 engines were tested together. The launch was a success, and the side boosters landed simultaneously at adjacent ground pads. Drone ship landing of the central core failed due to TEA€“TEB chemical igniter running out, preventing two of its engines from restarting; the landing failure caused damage to the nearby drone ship. Final burn to heliocentric Earth-Mars orbit was performed after the second stage and payload cruised for 6 hours through the Van Allen radiation belts. Later, Elon Musk tweeted that the third burn was successful, and JPL Horizons On-Line Ephemeris System showed the second stage and payload in an orbit with an aphelion of 1.67 AU. The live webcast proved immensely popular, as it became the second most watched livestream so far on YouTube, reaching over 2.3 million concurrent views. Over 100,000 visitors are believed to have come to the Space Coast to watch the launch in person.(more details below)"
22-02-2018,14:17:00,F9 FT  B1038.2,Dragon Not Used,VAFB SLC-4E,Paz  Tintin A & B,"2,150",4741,Demonstration,SpaceX,SSO,Hisdesat exactEarth SpaceX,Business,United States of America,Success,No attempt,No Ship Used,No Ship Used,"Last flight of a Block 3 first stage. Reused the booster from the Formosat-5 mission. Paz (peace) is Spain's first spy satellite that will be operated in a constellation with the German SAR fleet TSX and TDX. In addition, the rocket carried two SpaceX test satellites for their forthcoming communications network in low Earth orbit. This core flew without landing legs and was expended at sea. It also featured an upgraded payload fairing 2.0 with a first recovery attempt using the Mr. Steven crew boat equipped with a net. The fairing narrowly missed the boat, but achieved a soft water landing."
06-03-2018,05:33:00,F9 B4 B1044,Dragon Not Used,CCAFS SLC-40,Hispasat 30W-6  PODSat,"6,092",13433,Communication Satellite,SSL,GTO,Hispasat  NovaWurks,Business,United States of America,Success,No attempt,No Ship Used,No Ship Used,"The Spanish commsat was the largest satellite flown by SpaceX as of March 2018, ""nearly the size of a bus"". A drone ship landing was planned, but scrapped due to unfavorable weather conditions. SpaceX left the landing legs and titanium grid fins in place to prevent further delays, after previous concerns with the fairing pressurization and conflicts with the launch of GOES-S. The Hispasat 30W-6 satellite was propelled into a supersynchronous transfer orbit."
30-03-2018,14:14:00,F9 B4  B1041.2,Dragon Not Used,VAFB SLC-4E,Iridium NEXT 5,"9,600",21168,Communication Satellite,Oribital ATK,Polar LEO,Iridium Communications,Business,United States of America,Success,No attempt,No Ship Used,No Ship Used,"Fifth Iridium NEXT mission launch of 10 satellites used the refurbished booster from third Iridium flight. As with recent reflown boosters, SpaceX used the controlled descent of the first stage to test more booster recovery options. SpaceX planned a second recovery attempt of one half of the fairing using the specially modified boat Mr. Steven, but the parafoil twisted, which led to the fairing half missing the boat."
02-04-2018,20:30:00,F9 B4  B1039.2,C110.2,CCAFS SLC-40,SpaceX CRS-14,"2,647",5837,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,No attempt,No Ship Used,No Ship Used,"The launch used a refurbished booster (from CRS-12) and a refurbished capsule (C110 from CRS-8). External payloads include a materials research platform Materials International Space Station Experiment (MISSE-FF) phase 3 of the Robotic Refueling Mission (RRM) TSIS, ASIM heliophysics sensor, several crystallization experiments, and the RemoveDEBRIS system aimed at space debris removal. The booster was expended, and SpaceX collected more data on reentry profiles. It also carried the first Costa Rican satellite, Project IrazÃº, and the first Kenyan satellite, 1KUNS-PF."
18-04-2018,22:51:00,F9 B4 B1045.1,Dragon Not Used,CCAFS SLC-40,Transiting Exoplanet Survey Satellite (TESS),362,798,Communication Satellite,Orbital ATK,HEO,NASA (LSP),Government,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"First NASA high-priority science mission launched by SpaceX. Part of the Explorers program, TESS is space telescope intended for wide-field search of exoplanets transiting nearby stars. It was the first time SpaceX launched a scientific satellite which wasn't designed to focus on Earth observations. The second stage placed the spacecraft into a high elliptical Earth orbit, after which the satellite performed its own maneuvers, including a lunar flyby, such that over the course of two months it reached a stable 2:1 resonant orbit with the Moon. In January 2018, SpaceX received NASA's Launch Services Program Category 2 certification of its Falcon 9 ""Full Thrust"", certification which is required for launching ""medium-risk"" missions like TESS. Last launch of a new Block 4 booster, and the 24th successful recovery of the first stage. An experimental water landing of the launch fairing was performed in order to attempt fairing recovery, primarily as a test of parachute systems."
11-05-2018,20:14:00,F9 B5  B1046.1,Dragon Not Used,KSC LC-39A,Bangabandhu-1,"3,600",7938,Communication Satellite,Thales Alenia Space,GTO,Thales-Alenia/BTRC,Business,France,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"First Block 5 launch vehicle booster to fly. Initially planned for an Ariane 5 launch in December 2017, it became the first Bangladeshi commercial satellite, BRAC Onnesha is a cubesat built by Thales Alenia Space. It is intended to serve telecom services from 119.0° east with a lifetime of 15 years. It was the 25th successfully recovered first stage booster."
22-05-2018,19:49:58,F9 B4  B1043.2,Dragon Not Used,VAFB SLC-4E,"Iridium NEXT 6   GRACE-FO 1, 2","6,460",14244,Communication Satellite,Oribital ATK,Polar LEO,Iridium Communications GFZ €¢ NASA,Business,United States of America,Success,No attempt,No Ship Used,No Ship Used,Sixth Iridium NEXT mission launching 5 satellites used the refurbished booster from Zuma. GFZ arranged a rideshare of GRACE-FO on a Falcon 9 with Iridium following the cancellation of their Dnepr launch contract in 2015. Iridium CEO Matt Desch disclosed in September 2017 that GRACE-FO would be launched on this mission. The booster reuse turnaround was a record 4.5 months between flights.
04-06-2018,04:45:00,F9 B4  B1040.2,Dragon Not Used,CCAFS SLC-40,SES-12,"5,384",11872,Communication Satellite,Airbus,GTO,SES,Business,Luxembourg,Success,No attempt,No Ship Used,No Ship Used,"The communications satellite serving the Middle East and the Asia-Pacific region at the same place as SES-8, and was the largest satellite built for SES. The Block 4 first stage was expended, while the second stage was a Block 5 version, delivering more power towards a higher supersynchronous transfer orbit with 58,000 km (36,000 mi) apogee."
29-06-2018,09:42:00,F9 B4  B1045.2,C111.2,CCAFS SLC-40,SpaceX CRS-15,"2,697",5947,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,No attempt,No Ship Used,No Ship Used,"Payload included MISSE-FF 2, ECOSTRESS, a Latching End Effector, and Birds-2 payloads. The refurbished booster featured a record 2.5 months period turnaround from its original launch of TESS, a record held until February 2020 with the Starlink L4 mission. The fastest previous was 4.5 months. This was the last flight of a Block 4 booster, which was expended into the Atlantic Ocean without landing legs and grid fins."
22-07-2018,05:50:00,F9 B5  B1047.1,Dragon Not Used,CCAFS SLC-40,Telstar 19V,7075,15600,Communication Satellite,SSL,GTO,Telstar,Business,Canada,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"SSL-manufactured communications satellite intended to be placed at 63.0° west over the Americas, replacing Telstar 14R. At 7,075 kg (15,598 lb), it became the heaviest commercial communications satellite so far launched. This necessitated that the satellite be launched into a lower-energy orbit than a usual GTO, with its initial apogee at roughly 17,900 km (11,100 mi)."
25-07-2018,11:39:00,F9 B5  B1048.1,Dragon Not Used,VAFB SLC-4E,Iridium NEXT-7,9600,21168,Communication Satellite,Oribital ATK,Polar LEO,Iridium Communications,Business,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"Seventh Iridium NEXT launch, with 10 communication satellites. The booster landed safely on the drone ship in the worst weather conditions for any landing yet attempted. Mr. Steven boat with an upgraded 4x size net was used to attempt fairing recovery but failed due to harsh weather."
07-08-2018,05:18:00,F9 B5  B1046.2,Dragon Not Used,CCAFS SLC-40,Merah Putih,5800,12789,Communication Satellite,SSL,GTO,Telkom Indonesia,Business,Indonesia,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,Indonesian comsat intended to replace the aging Telkom 1 at 108.0° East. First reflight of a Block 5-version booster.
10-09-2018,04:45:01,F9 B5  B1049.1,Dragon Not Used,CCAFS SLC-40,Telstar 18V,7060,15567,Communication Satellite,SSL,GTO,Telesat,Business,Canada,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Condosat for 138.0° East over Asia and Pacific. Delivered to a GTO orbit with apogee close to 18,000 km (11,000 mi)."
08-10-2018,02:22:00,F9 B5  B1048.2,Dragon Not Used,VAFB SLC-4E,SAOCOM 1A,3000,6615,Observation Satellite,INVAP,SSO,CONAE,Government,Argentina,Success,Success (ground pad),No Ship Used,No Ship Used,Argentinian Earth-observation satellite was originally intended to be launched in 2012. First landing on the West Coast ground pad.
15-11-2018,20:46:00,F9 B5  B1047.2,Dragon Not Used,KSC LC-39A,Es'hail 2,5300,11687,Communication Satellite,Mitsubishi Electric,GTO,Es'hailSat,Business,Qatar,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"Qatari comsat positioned at 26.0° east. This launch used redesigned COPVs. This was to meet NASA safety requirements for commercial crew missions, in response to the September 2016 pad explosion."
03-12-2018,18:34:05,F9 B5  B1046.3,Dragon Not Used,VAFB SLC-4E,SSO-A,4000,8820,Rideshare,Various,SS0,Spaceflight Industries,Rideshare,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"Rideshare mission where two SHERPA dispensers deployed 64 small satellites, including Eu:CROPIS for the German DLR, HIBER-2 for the Dutch Hiber Global, ITASAT-1 for the Brazilian Instituto TecnolÃ³gico de AeronÃ¡utica, two high-resolution SkySat imaging satellites for Planet Labs, and two high school CubeSats part of NASA's ELaNa 24. This was the first time a booster was used for a third flight."
05-12-2018,18:16:00,F9 B5  B1050,C112.2,CCAFS SLC-40,SpaceX CRS-16,2500,5513,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Failure (ground pad),No Ship Used,No Ship Used,"First CRS mission with the Falcon 9 Block 5. This carried the Global Ecosystem Dynamics Investigation lidar (GEDI) as an external payload. The mission was delayed by one day due to moldy rodent food for one of the experiments on the Space Station. A previously flown Dragon spacecraft was used for the mission. The booster, in use for the first time, experienced a grid fin hydraulic pump stall on reentry, which caused it to spin out of control and touchdown at sea, heavily damaging the interstage section; this was the first failed landing targeted for a ground pad."
23-12-2018,13:51:00,F9 B5  B1054,Dragon Not Used,CCAFS SLC-40,GPS III-01,4400,9702,Observation Satellite,Lockheed Martin,MEO,USAF,Government,United States of America,Success,No attempt,No Ship Used,No Ship Used,"Initially planned for a Delta IV launch, this was SpaceX's first launch of an EELV-class payload. There was no attempt to recover the first-stage booster for reuse due to the customer's requirements, including a high inclination orbit of 55.0°. Nicknamed Vespucci, the USAF marked the satellite operational on 1 January 2020 under the label SVN 74."
11-01-2019,15:31:00,F9 B5  B1049.2,Dragon Not Used,CCAFS SLC-40,Iridium NEXT-8,9600,21168,Communication Satellite,Oribital ATK,Polar LEO,Iridium Communications,Business,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"Final launch of the Iridium NEXT contract, launching 10 satellites."
22-02-2019,01:45:00,F9 B5  B1048.3,Dragon Not Used,CCAFS SLC-40,Nusantara Satu,4850,10694,Communication Satellite,SSL,GTO,PSN,Business,Indonesia,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Nusantara Satu is a private Indonesian comsat planned to be located at 146.0° east, with a launch mass of 4,100 kg (9,000 lb), and featuring electric propulsion for orbit-raising and station-keeping. S5, a 60-kg smallsat by the Air Force Research Laboratory (AFRL), was piggybacked on Nusantara Satu, and was deployed near its GEO position to perform a classified space situational awareness mission. This launch opportunity was brokered by Spaceflight Industries as ""GTO-1"". The Beresheet Moon lander (initially called Sparrow) was one of the candidates for the Google Lunar X-Prize, whose developers SpaceIL had secured a launch contract with Spaceflight Industries in October 2015. Its launch mass was 585 kg (1,290 lb) including fuel. After separating into a supersynchronous transfer orbit with an apogee of 69,400 km (43,100 mi), Beresheet raised its orbit by its own power over two months and flew to the Moon. After successfully getting into lunar orbit, Beresheet attempted to land on the Moon on 11 April 2019 but failed."
02-03-2019,07:49:00,F9 B5  B1051.1,C201,KSC LC-39A,Crew Dragon Demo-1,12055,26581,Demonstration,SpaceX,LEO (ISS),NASA (CCD),Government,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,First flight of the SpaceX Crew Dragon. This was the first demonstration flight for the NASA Commercial Crew Program which awarded SpaceX a contract in September 2014 with flights hoped as early as 2015. The Dragon performed an autonomous docking to the ISS 27 hours after launch with the hatch being opened roughly 2 hours later. The vehicle spent nearly a week docked to the ISS to test critical functions. It undocked roughly a week later on 8 March 2019 and splashed down six hours later at 13:45. The Dragon used on this flight was scheduled to fly on the inflight abort test in mid-2019 but was destroyed during testing. The booster B1051.1 replaced B1050 and flew again on 12 June 2019.
11-04-2019,22:35:00,"B1052.1 (side), Heavy core B1055, B1053.1 (side)",,KSC LC-39A,Arabsat-6A,6465,14255,Communication Satellite,Lockheed Martin,GTO,Arabsat,Business,Saudi Arabia,Success,"Success (drone ship), Success (ground pad), Success (ground pad",Of Course I Still Love You,Marmac 304,"Second flight of Falcon Heavy, the first commercial flight, and the first one using Block 5 boosters. SpaceX successfully landed the side boosters at Landing Zone 1 and LZ 2 and reused the side boosters later for the STP-2 mission. The central core landed on drone ship Of Course I Still Love You, located 967 km (601 mi) downrange, the furthest successful sea landing so far. Despite the successful landing, due to rough seas and the fact that the Octagrabber had not been configured to grab the central core of a Falcon Heavy, the central core was unable to be secured to the deck for recovery and later tipped overboard in transit. SpaceX has since developed new attachment fixtures for the Octagrabber so this problem won't happen again. SpaceX recovered the fairing from this launch and later reused it in the November 2019 Starlink launch. Arabsat-6A, a 6,465 kg (14,253 lb) Saudi satellite, is the most advanced commercial communications satellite so far built by Lockheed Martin. The Falcon Heavy delivered the Arabsat-6A into a supersynchronous transfer orbit with 90,000 km (56,000 mi) apogee with an inclination of 23.0° to the equator."
04-05-2019,06:48:00,F9 B5  B1056.1,C113.2,CCAFS SLC-40,SpaceX CRS-17,2495,5501,Space Station Supplies,NASA,,NASA (CRS),Government,United States of America,Success,Success (drop ship),Of Course I Still Love You,Marmac 304,"A Commercial Resupply Service mission to the International Space Station carrying nearly 2.5 tons of cargo including the Orbiting Carbon Observatory-3 as an external payload. Originally planned to land at Landing Zone 1, the landing was moved to the drone ship after a Dragon 2 had an anomaly during testing at LZ-1."
24-05-2019,02:30:00,F9 B5  B1049.3,Dragon Not Used,CCAFS SLC-40,Starlink v0.9,13620,30032,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drop ship),Of Course I Still Love You,Marmac 304,"Following the launch of the two Tintin test satellites, this was the first full-scale test launch of the Starlink constellation, launching ""production design"" satellites. Each Starlink satellite has a mass of 227 kg (500 lb), and the combined launch mass was 13,620 kg (30,030 lb) the heaviest payload launched by SpaceX at that time. The fairings were recovered and reused for Starlink L5 in March 2020. These are the first commercial satellites to use krypton as fuel for their ion thrusters, which is cheaper than the usual xenon fuel."
12-06-2019,14:17:00,F9 B5  B1051.2,Dragon Not Used,VAFB SLC-4E,RADARSAT Constellation,4200,9261,Observation Satellite,MDA,SSO,Canadian Space Agency,Government,Canada,Success,Success (drop ship),Of Course I Still Love You,Marmac 304,"A trio of satellites built for Canada's RADARSAT program were launched that plan to replace the aging Radarsat-1 and Radarsat-2. The new satellites contain Automated Identification System (AIS) for locating ships and provide the world's most advanced, comprehensive method of maintaining Arctic sovereignty, conducting coastal surveillance, and ensuring maritime security. The mission was originally scheduled to lift off in February but due to the landing failure of booster B1050, this flight was switched to B1051 (used on Crew Dragon Demo-1) and delayed to allow refurbishment and transport to the West coast. The booster landed safely through fog. A payload cost of roughly US$1 billion made this SpaceX's second most expensive payload launched and most valuable commercial payload so far put into orbit."
25-06-2019,06:30:00,"B1052.2 (side), Heavy core B1052.2, B1053.2 (side)",Dragon Not Used,KSC LC-39A,Space Test Program Flight 2,3700,8159,Rideshare,Various,LEO/MEO,USAF,Government,United States of America,Success,"Failure (drone ship), Success (ground pad), Success (ground pad)",Of Course I Still Love You,Marmac 304,"USAF Space Test Program Flight 2 (STP-2) carried 24 small satellites, including: FormoSat-7 A/B/C/D/E/F integrated using EELV Secondary Payload Adapter, DSX, Prox-1 GPIM, DSAC, ISAT, SET, COSMIC-2, Oculus-ASR, OBT, NPSat, and several CubeSats including E-TBEx, LightSail 2, TEPCE, PSAT, and three ELaNa 15 CubeSats. Total payload mass was 3,700 kg (8,200 lb). The mission lasted six hours during which the second stage ignited four times and went into different orbits to deploy satellites including a ""propulsive passivation maneuver"". Third flight of Falcon Heavy. The side boosters from the Arabsat-6A mission just 2.5 months before were reused on this flight and successfully returned to LZ-1 and LZ-2. The center core, in use for the first time, underwent the most energetic reentry attempted by SpaceX, and attempted a landing over 1,200 km (750 mi) downrange, 30% further than any previous landing. This core suffered a thrust vector control failure in the center engine caused by a breach in the engine bay due to the extreme heat. The core thus failed its landing attempt on the drone ship Of Course I Still Love You due to lack of control when the outer engines shut down. For the first time, one fairing half was successfully landed on the catch-net of the support ship GO Ms. Tree (formerly Mr. Steven)."
25-07-2019,22:01:00,F9 B5  B1056.2,C108.3,CCAFS SLC-40,SpaceX CRS-18,2268,5001,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Success (ground pad),No Ship Used,No Ship Used,"This launch carried nearly 9,000 individual unique payloads including over one ton of science experiments, the most so far launched on a SpaceX Dragon. The third International Docking Adapter (IDA-3), a replacement for the first IDA lost during the CRS-7 launch anomaly, was one of the external payloads on this mission. Along with food and science, the Dragon also carried the ELaNa 27 RFTSat CubeSat and MakerSat-1 which will be used to demonstrate microgravity additive manufacturing. The satellite is expected to be launched by a Cygnus dispenser later in July 2019. The booster used on this flight was the same used on CRS-17 earlier in the year; originally, it was planned to reuse it again for the CRS-19 mission later this year, but the plan was scrapped. For the first time, the twice flown Dragon spacecraft also made a third flight. Also used for the first time was a gray-band painted where the RP-1 kerosene tank is located, to help with thermal conductivity and thus saving fuel during long coasts."
06-08-2019,23:23:00,F9 B5  B1047.3,Dragon Not Used,CCAFS SLC-40,AMOS-17,6500,14333,Communication Satellite,Boeing,GTO,Spacecom,Business,Israel,Success,No attempt,No Ship Used,No Ship Used,"AMOS-17 is the most advanced high-throughput satellite to provide satellite communication services to Africa. Following the loss of AMOS-6 in September 2016, Spacecom was granted a free launch in compensation for the lost satellite. Due to the free launch, Spacecom was able to expend the booster with no extra cost that comes with expending a booster, and thus could reach final orbit quicker. This booster became the second Block 5 booster to be expended. For the second time, Ms. Tree managed to catch a fairing half directly into its net."
11-01-2019,14:56:00,F9 B5  B1048.4,Dragon Not Used,CCAFS SLC-40,Starlink 1 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Second large batch of Starlink satellites and the first operational mission of the constellation, it launched in a roughly 290 km (180 mi) orbit at an inclination of 53.0°. At 15,600 kg (34,400 lb), it is the heaviest payload so far launched by SpaceX, breaking the record set by the Starlink v0.9 flight earlier that year. This flight marked the first time that a Falcon 9 booster made a fourth flight and landing. This was also the first time that a Falcon 9 re-used fairings (from ArabSat-6A in April 2019). It was planned to recover the fairings with both Ms. Tree and Ms. Chief but the plan was abandoned due to rough seas."
05-12-2019,17:29:00,F9 B5  B1059.1,C106.3,CCAFS SLC-40,SpaceX CRS-19,2617,5770,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Second re-supply flight to use a Cargo Dragon for the third time. This flight carried Robotic Tool Stowage (RiTS), a docking station that allows equipment that looks for leaks on the Space Station be stored on the outside. Also on board were upgrades for the Cold Atom Laboratory (CAL). Onboard experiments include the testing of the spread of fire in space, mating barley in microgravity and experiments to test muscle and bone growth in microgravity. Secondary payloads include the Hyperspectral Imager Suite (HISUI), an experiment to image high resolution across all colours of the light spectrum, allowing for imaging of soil, rocks, vegetation, snow, ice and man-made objects. Additionally, there were three CubeSats from NASA's ELaNa 28 mission, including the AztechSat-1 satellite built by students in Mexico."
17-12-2019,00:10:00,F9 B5  B1056.3,Dragon Not Used,CCAFS SLC-40,JCSAT-18 / Kacific 1,6956,15338,Communication Satellite,Boeing,GTO,SKY Perfect JSAT Group,Business,Japan,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Singaporean-Japanese CondoSat that will cover the Asia-Pacific region. Due to the heavy weight of the payload, it was injected into a lower energy sub-synchronous orbit of 20,000 km (12,000 mi); the satellite itself will transfer to full GTO. This was the third Falcon 9 launch for JSAT and the previous two were in 2016. SpaceX successfully landed B1056.3 but both fairing halves missed the recovery boats Ms. Tree and Ms. Chief."
07-01-2020,02:19:21,F9 B5  B1049.4,Dragon Not Used,CCAFS SLC-40,Starlink 2 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Third large batch and second operational flight of Starlink constellation. One of the 60 satellites included a test coating to make the satellite less reflective, and thus less likely to interfere with ground-based astronomical observations."
19-01-2020,15:30:00,F9 B5  B1046.4,C205.1,KSC LC-39A,Crew Dragon in-flight abort test,12050,26570,Demonstration,SpaceX,Sub-orbital,NASA (CTS),Government,United States of America,Success,No attempt,No Ship Used,No Ship Used,"An atmospheric test of the Dragon 2 abort system after Max Q. The capsule fired its SuperDraco engines, reached an apogee of 40 km (25 mi), deployed parachutes after reentry, and splashed down in the ocean 31 km (19 mi) downrange from the launch site. The test was previously slated to be accomplished with the Crew Dragon Demo-1 capsule; but that test article exploded during a ground test of SuperDraco engines on 20 April 2019. The abort test used the capsule originally intended for the first crewed flight. As expected, the booster was destroyed by aerodynamic forces after the capsule aborted. First flight of a Falcon 9 with only one functional stage €” the second stage had a mass simulator in place of its engine."
29-01-2020,14:07:00,F9 B5  B1551.3,Dragon Not Used,CCAFS SLC-40,Starlink 3 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Third operational and fourth large batch of Starlink satellites, deployed in a circular 290 km (180 mi) orbit. One of the fairing halves was caught, while the other was fished out of the ocean."
17-02-2020,15:05:00,F9 B5  B1556.4,Dragon Not Used,CCAFS SLC-40,Starlink 4 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Failure (drone ship),Of Course I Still Love You,Marmac 304,Fourth operational and fifth large batch of Starlink satellites. Used a new flight profile which deployed into a 212 km Ã— 386 km (132 mi Ã— 240 mi) elliptical orbit instead of launching into a circular orbit and firing the second stage engine twice. The first stage booster failed to land on the drone ship due to incorrect wind data. This was the first time a flight proven booster failed to land.
07-03-2020,04:50:00,F9 B5  B1559.2,C112.3,CCAFS SLC-40,SpaceX CRS-20,1977,4359,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Success (ground pad),No Ship Used,No Ship Used,"Last launch of phase 1 of the CRS contract. Carries Bartolomeo, an ESA platform for hosting external payloads onto ISS. Originally scheduled to launch on 2 March 2020, the launch date was pushed back due to a second stage engine failure. SpaceX decided to swap out the second stage instead of replacing the faulty part. It was SpaceX's 50th successful landing of a first stage booster, the third flight of the Dragon C112 and the last launch of the cargo Dragon spacecraft."
18-03-2020,12:16:00,F9 B5  B1048.5,Dragon Not Used,KSC LC-39A,Starlink 5 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Failure (drone ship),Of Course I Still Love You,Marmac 304,"Fifth operational launch of Starlink satellites. It was the first time a first stage booster flew for a fifth time and the second time the fairings were reused (Starlink flight in May 2019). Towards the end of the first stage burn, the booster suffered premature shut down of an engine, the first of a Merlin 1D variant and first since the CRS-1 mission in October 2012. However, the payload still reached the targeted orbit. This was the second Starlink launch booster landing failure in a row, later revealed to be caused by residual cleaning fluid trapped inside a sensor."
22-04-2020,19:30:00,F9 B5  B1051.4,Dragon Not Used,KSC LC-39A,Starlink 6 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Sixth operational launch of Starlink satellites. The 84th flight of the Falcon 9 rocket, it surpassed Atlas V to become the most-flown operational US rocket. Used fairings launched on AMOS-17 (August 2019)."
30-05-2020,19:22:00,F9 B5  B1058.1,C206.1,KSC LC-39A,Crew Dragon Demo-2,12530,27629,Human Spaceflight,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"First crewed orbital spaceflight from American soil since Space Shuttle STS-135 in July 2011, carrying NASA astronauts Bob Behnken and Doug Hurley to the International Space Station. The SpaceX live stream was peaked at 4.1 million viewers, while NASA estimated roughly 10 million people watched on various online platforms, and approximately 150,000 people gathered on Florida's space coast despite the risks of the COVID-19 pandemic."
04-06-2020,01:25:00,F9 B5  B1049.5,Dragon Not Used,CCAFS SLC-40,Starlink 7 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"Seventh operational launch of Starlink satellites, occurred on the 10th anniversary of the first Falcon 9 flight. Included ""VisorSat"" satellite test that uses a sunshade to limit reflectivity. First booster to successfully land five times, and first to land on Just Read The Instructions since it was moved to the East Coast."
13-06-2020,09:21:00,F9 B5  B1059.3,Dragon Not Used,CCAFS SLC-40,Starlink 8 v1.0,15410,33979,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Eighth operational launch of Starlink satellites, included the first rideshare in SpaceX's SmallSat Program, of three SkySat satellites. One payload fairing half launched on JCSat-18 / Kacific 1 mission in December 2019. The other payload fairing half flew on Starlink 2 v1.0 in January 2020. For the first time, SpaceX did not perform a static fire before launch."
30-06-2020,20:10:46,F9 B5  B1060.1,Dragon Not Used,CCAFS SLC-40,GPS III-03,4311,9506,Observation Satellite,Lockheed Martin,MEO,USSF,Government,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"Payload manufacturing contract awarded January 2012, fully assembled in August 2017, and completed thermal vacuum testing in June 2018. Launch contract was awarded initially for US$96.5 million, but later, this was discounted in exchange for allowing to launch configuration enabling booster recovery. The vehicle nicknamed Columbus was transported to Florida in February 2020, but launch was delayed by the customer from April 2020 due to the COVID-19 pandemic. The launch was dedicated to the memory of the recently deceased, late commander of the 21st Space Wing, Colonel Thomas G. Falzarano, and after launch, in October 2020, the nickname was changed to that of the Arctic explorer Matthew Henson. The second stage featured a gray band to allow more heat to be absorbed during the longer coasting period, while both fairings were recovered out of the water without attempting a catch in the net."
20-07-2020,21:30:00,F9 B5  B1058.2,Dragon Not Used,CCAFS SLC-40,ANASIS-II,5500,12128,Communication Satellite,Airbus,GTO,Republic of Korea Army,Government,South Korea,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"At 5-6 tonnes, the satellite formerly known as K-Milsat-1 is South Korea's first dedicated military satellite. Contracted by South Korea's Defense Acquisition Program Administration in 2014. 57th successful recovery of a Falcon 9 first stage. For the first time both fairing halves were also successfully caught by fairing catching ships. This launch featured a booster reflight within 51 days, a new record turnaround time for a Falcon booster. It was the same booster that launched the Crew Dragon Demo-2 spacecraft on 30 May 2020. The satellite was delivered to a super-synchronous transfer orbit of 211 km Ã— 45,454 km (131 mi Ã— 28,244 mi), while both fairing halves were caught in the catch nets of the supports ships."
